id,user_id,tree_id,comment_text,platform,sentiment,confidence,category,impact,water_drops,poison_drops,week_number
#######,#######,#######,amen thank you,twitter,positive,0.6,Normal,3,3,0,5
#######,#######,#######,😭💔,twitter,neutral,0.5,Normal,1,0,0,2
#######,#######,#######,some will think its ai,instagram,neutral,0.5,Normal,2,0,0,6
#######,#######,#######,This is so beautiful. love it!,twitter,positive,0.7,Normal,4,4,0,2
#######,#######,#######,Heathy  debate good for democracy.,twitter,positive,0.6,Normal,3,3,0,4
#######,#######,#######,beautiful,twitter,positive,0.6,Normal,3,3,0,6
#######,#######,#######,He will always be there.,twitter,neutral,0.5,Normal,1,0,0,3
#######,#######,#######,Good to see you.,twitter,positive,0.6,Normal,3,3,0,4
#######,#######,#######,aqui em casa chamamos essa posição de suricatito 🐇,twitter,neutral,0.5,Normal,1,0,0,5
#######,#######,#######,very nice acting,instagram,positive,0.6,Normal,3,3,0,6
#######,#######,#######,"Haha, I feel you! Online degrees could be a good alternative. 😊",twitter,positive,0.6,Normal,3,3,0,1
#######,#######,#######,Minus the lighting that's pretty cool,instagram,positive,0.6,Normal,3,3,0,1
#######,#######,#######,x,instagram,neutral,0.5,Normal,1,0,0,2
#######,#######,#######,"""Everyone here is listening. How does Cons. Zungu says I was near the place of the incident, not that he wrote a statement. He was near the place of the incident, but he said he doesn't know these people."" Ratha went insane 🤣😂🤣 #senzomeyiwatrial",twitter,neutral,0.5,Normal,1,0,0,1
#######,#######,#######,i love to have it,twitter,positive,0.6,Normal,3,3,0,6
#######,#######,#######,She is a great leader and politician😍,twitter,positive,0.6,Normal,3,3,0,2
#######,#######,#######,"She is best in all of them, Greatest of all time",twitter,positive,0.6,Normal,3,3,0,4
#######,#######,#######,So many yellow cards in the first half,twitter,neutral,0.5,Normal,1,0,0,3
#######,#######,#######,"yes princess,you are beatiful",instagram,neutral,0.5,Normal,1,0,0,4
#######,#######,#######,"queria comprar cacarecos e roupa, mas fui uma adulta responsável e comprei o mouse ergonômico da logitech pq não aguento mais dores nos dedos por motivos de trabalho 🥲",twitter,neutral,0.5,Normal,1,0,0,6
#######,#######,#######,Absolutely scrumptious and a beautiful sight,twitter,positive,0.6,Normal,3,3,0,2
#######,#######,#######,Insightful.,twitter,positive,0.6,Normal,3,3,0,2
#######,#######,#######,lovelyyyyy,twitter,positive,0.6,Normal,3,3,0,1
#######,#######,#######,acordei mas queria mimir mais,twitter,neutral,0.5,Normal,1,0,0,1
#######,#######,#######,how is yours,instagram,neutral,0.5,Normal,1,0,0,6
#######,#######,#######,eita preula,twitter,neutral,0.5,Normal,1,0,0,1
#######,#######,#######,Cool and calm.,twitter,positive,0.6,Normal,3,3,0,3
#######,#######,#######,que vontade de me mimar e me dar o set de natal de sylvanian families hihi,twitter,neutral,0.5,Normal,1,0,0,1
#######,#######,#######,hope everyone is safe on their journey back home. All the Love to those without homes to return to this festive🤍!!,twitter,positive,0.6,Normal,3,3,0,5
#######,#######,#######,I love this! I hope more people can look at life like this,instagram,positive,0.6,Normal,3,3,0,4
#######,#######,#######,we love you jenifer,instagram,positive,0.6,Normal,3,3,0,4
#######,#######,#######,Awesome.,twitter,positive,0.6,Normal,3,3,0,6
#######,#######,#######,Once&Always☠️❤️,twitter,neutral,0.5,Normal,1,0,0,1
#######,#######,#######,😂😂bra please stop it,twitter,neutral,0.5,Normal,1,0,0,1
#######,#######,#######,x,instagram,neutral,0.5,Normal,1,0,0,4
